Mass[M_sun/h] z D(z) sigma(M,0) sigma(0.5M,0) sigma(0.14M,0)
1.516000e+13 0.00 1.000000 1.368545 1.547179 1.903651
1.514000e+13 0.00 1.000000 1.368875 1.547530 1.904039
1.498000e+13 0.00 1.000000 1.371528 1.550355 1.907164
1.494000e+13 0.00 1.000000 1.372196 1.551067 1.907951
1.479000e+13 0.00 1.000000 1.374719 1.553753 1.910922
1.465000e+13 0.00 1.000000 1.377100 1.556287 1.913724
1.455000e+13 0.00 1.000000 1.378816 1.558113 1.915743
1.451000e+13 0.00 1.000000 1.379505 1.558847 1.916555
1.424000e+13 0.00 1.000000 1.384217 1.563862 1.922098
1.416000e+13 0.00 1.000000 1.385632 1.565367 1.923763
1.396000e+13 0.00 1.000000 1.389208 1.569172 1.927968
1.382000e+13 0.00 1.000000 1.391744 1.571871 1.930950
1.379000e+13 0.00 1.000000 1.392292 1.572453 1.931593
1.350000e+13 0.00 1.000000 1.397649 1.578153 1.937889
1.349000e+13 0.00 1.000000 1.397836 1.578352 1.938109
1.338000e+13 0.00 1.000000 1.399903 1.580550 1.940537
1.333000e+13 0.00 1.000000 1.400849 1.581556 1.941648
1.326000e+13 0.00 1.000000 1.402179 1.582971 1.943210
1.322000e+13 0.00 1.000000 1.402943 1.583783 1.944107
1.322000e+13 0.00 1.000000 1.402943 1.583783 1.944107
1.300000e+13 0.00 1.000000 1.407189 1.588299 1.949093
1.296000e+13 0.00 1.000000 1.407970 1.589129 1.950009
1.294000e+13 0.00 1.000000 1.408361 1.589545 1.950468
1.288000e+13 0.00 1.000000 1.409538 1.590797 1.951851
1.288000e+13 0.00 1.000000 1.409538 1.590797 1.951851
1.284000e+13 0.00 1.000000 1.410327 1.591635 1.952776
1.279000e+13 0.00 1.000000 1.411316 1.592687 1.953937
1.272000e+13 0.00 1.000000 1.412708 1.594167 1.955571
1.268000e+13 0.00 1.000000 1.413507 1.595017 1.956509
1.268000e+13 0.00 1.000000 1.413507 1.595017 1.956509
1.261000e+13 0.00 1.000000 1.414913 1.596511 1.958157
1.259000e+13 0.00 1.000000 1.415316 1.596939 1.958630
1.255000e+13 0.00 1.000000 1.416124 1.597798 1.959579
1.251000e+13 0.00 1.000000 1.416935 1.598661 1.960530
1.249000e+13 0.00 1.000000 1.417342 1.599093 1.961007
1.242000e+13 0.00 1.000000 1.418771 1.600612 1.962683
1.237000e+13 0.00 1.000000 1.419797 1.601702 1.963886
1.236000e+13 0.00 1.000000 1.420003 1.601921 1.964127
1.233000e+13 0.00 1.000000 1.420621 1.602578 1.964852
1.233000e+13 0.00 1.000000 1.420621 1.602578 1.964852
1.230000e+13 0.00 1.000000 1.421241 1.603237 1.965579
1.210000e+13 0.00 1.000000 1.425416 1.607675 1.970475
1.203000e+13 0.00 1.000000 1.426896 1.609247 1.972209
1.198000e+13 0.00 1.000000 1.427958 1.610376 1.973454
1.197000e+13 0.00 1.000000 1.428171 1.610603 1.973704
1.188000e+13 0.00 1.000000 1.430098 1.612650 1.975961
1.185000e+13 0.00 1.000000 1.430743 1.613336 1.976717
1.183000e+13 0.00 1.000000 1.431175 1.613794 1.977223
1.173000e+13 0.00 1.000000 1.433344 1.616099 1.979764
1.173000e+13 0.00 1.000000 1.433344 1.616099 1.979764
1.169000e+13 0.00 1.000000 1.434217 1.617027 1.980787
1.167000e+13 0.00 1.000000 1.434655 1.617492 1.981300
1.159000e+13 0.00 1.000000 1.436415 1.619361 1.983361
1.152000e+13 0.00 1.000000 1.437966 1.621009 1.985177
1.141000e+13 0.00 1.000000 1.440424 1.623620 1.988054
1.139000e+13 0.00 1.000000 1.440873 1.624097 1.988581
1.139000e+13 0.00 1.000000 1.440873 1.624097 1.988581
1.132000e+13 0.00 1.000000 1.442454 1.625776 1.990431
1.129000e+13 0.00 1.000000 1.443135 1.626499 1.991228
1.126000e+13 0.00 1.000000 1.443817 1.627224 1.992027
1.125000e+13 0.00 1.000000 1.444045 1.627466 1.992294
1.122000e+13 0.00 1.000000 1.444730 1.628194 1.993096
1.109000e+13 0.00 1.000000 1.447723 1.631372 1.996598
1.097000e+13 0.00 1.000000 1.450520 1.634343 1.999870
1.096000e+13 0.00 1.000000 1.450755 1.634592 2.000144
1.091000e+13 0.00 1.000000 1.451931 1.635841 2.001520
1.089000e+13 0.00 1.000000 1.452403 1.636342 2.002072
1.083000e+13 0.00 1.000000 1.453825 1.637852 2.003736
1.059000e+13 0.00 1.000000 1.459602 1.643985 2.010489
1.051000e+13 0.00 1.000000 1.461559 1.646062 2.012777
1.049000e+13 0.00 1.000000 1.462051 1.646585 2.013352
1.040000e+13 0.00 1.000000 1.464277 1.648947 2.015953
1.035000e+13 0.00 1.000000 1.465523 1.650270 2.017408
1.030000e+13 0.00 1.000000 1.466775 1.651599 2.018871
1.021000e+13 0.00 1.000000 1.469046 1.654009 2.021524
1.019000e+13 0.00 1.000000 1.469554 1.654548 2.022117
9.979000e+12 0.00 1.000000 1.474977 1.660302 2.028449
9.919000e+12 0.00 1.000000 1.476541 1.661962 2.030275
9.727000e+12 0.00 1.000000 1.481619 1.667349 2.036202
9.706000e+12 0.00 1.000000 1.482181 1.667945 2.036858
9.683000e+12 0.00 1.000000 1.482798 1.668600 2.037578
9.683000e+12 0.00 1.000000 1.482798 1.668600 2.037578
9.667000e+12 0.00 1.000000 1.483228 1.669056 2.038080
9.489000e+12 0.00 1.000000 1.488067 1.674189 2.043723
9.483000e+12 0.00 1.000000 1.488232 1.674363 2.043916
9.446000e+12 0.00 1.000000 1.489250 1.675444 2.045104
9.394000e+12 0.00 1.000000 1.490690 1.676971 2.046782
9.340000e+12 0.00 1.000000 1.492194 1.678566 2.048536
9.233000e+12 0.00 1.000000 1.495202 1.681755 2.052043
9.225000e+12 0.00 1.000000 1.495428 1.681996 2.052306
9.214000e+12 0.00 1.000000 1.495740 1.682326 2.052670
9.144000e+12 0.00 1.000000 1.497733 1.684439 2.054992
8.985000e+12 0.00 1.000000 1.502323 1.689305 2.060340
8.943000e+12 0.00 1.000000 1.503550 1.690606 2.061769
8.937000e+12 0.00 1.000000 1.503725 1.690792 2.061974
8.859000e+12 0.00 1.000000 1.506023 1.693228 2.064650
8.770000e+12 0.00 1.000000 1.508671 1.696035 2.067734
8.768000e+12 0.00 1.000000 1.508731 1.696098 2.067803
8.761000e+12 0.00 1.000000 1.508940 1.696320 2.068047
8.714000e+12 0.00 1.000000 1.510352 1.697817 2.069691
8.710000e+12 0.00 1.000000 1.510472 1.697945 2.069832
8.670000e+12 0.00 1.000000 1.511681 1.699226 2.071239
8.606000e+12 0.00 1.000000 1.513628 1.701289 2.073505
8.606000e+12 0.00 1.000000 1.513628 1.701289 2.073505
8.540000e+12 0.00 1.000000 1.515653 1.703434 2.075861
8.455000e+12 0.00 1.000000 1.518284 1.706224 2.078924
8.422000e+12 0.00 1.000000 1.519314 1.707315 2.080121
8.414000e+12 0.00 1.000000 1.519564 1.707580 2.080412
8.389000e+12 0.00 1.000000 1.520348 1.708410 2.081324
8.348000e+12 0.00 1.000000 1.521639 1.709778 2.082826
8.340000e+12 0.00 1.000000 1.521891 1.710046 2.083120
8.317000e+12 0.00 1.000000 1.522619 1.710817 2.083966
8.265000e+12 0.00 1.000000 1.524273 1.712569 2.085890
8.230000e+12 0.00 1.000000 1.525393 1.713755 2.087192
8.211000e+12 0.00 1.000000 1.526003 1.714401 2.087901
