Mass[M_sun/h] z D(z) sigma(M,0) sigma(0.5M,0) sigma(0.14M,0)
1.716000e+12 0.00 1.000000 1.966621 2.178550 2.592864
1.714000e+12 0.00 1.000000 1.966969 2.178915 2.593258
1.712000e+12 0.00 1.000000 1.967318 2.179281 2.593652
1.710000e+12 0.00 1.000000 1.967667 2.179646 2.594047
1.710000e+12 0.00 1.000000 1.967667 2.179646 2.594047
1.710000e+12 0.00 1.000000 1.967667 2.179646 2.594047
1.706000e+12 0.00 1.000000 1.968366 2.180379 2.594838
1.706000e+12 0.00 1.000000 1.968366 2.180379 2.594838
1.706000e+12 0.00 1.000000 1.968366 2.180379 2.594838
1.706000e+12 0.00 1.000000 1.968366 2.180379 2.594838
1.704000e+12 0.00 1.000000 1.968717 2.180747 2.595234
1.704000e+12 0.00 1.000000 1.968717 2.180747 2.595234
1.704000e+12 0.00 1.000000 1.968717 2.180747 2.595234
1.701000e+12 0.00 1.000000 1.969243 2.181298 2.595830
1.699000e+12 0.00 1.000000 1.969594 2.181667 2.596227
1.699000e+12 0.00 1.000000 1.969594 2.181667 2.596227
1.697000e+12 0.00 1.000000 1.969946 2.182035 2.596625
1.693000e+12 0.00 1.000000 1.970651 2.182774 2.597423
1.689000e+12 0.00 1.000000 1.971358 2.183515 2.598222
1.689000e+12 0.00 1.000000 1.971358 2.183515 2.598222
1.689000e+12 0.00 1.000000 1.971358 2.183515 2.598222
1.685000e+12 0.00 1.000000 1.972067 2.184258 2.599024
1.685000e+12 0.00 1.000000 1.972067 2.184258 2.599024
1.683000e+12 0.00 1.000000 1.972422 2.184630 2.599426
1.681000e+12 0.00 1.000000 1.972777 2.185002 2.599828
1.681000e+12 0.00 1.000000 1.972777 2.185002 2.599828
1.679000e+12 0.00 1.000000 1.973133 2.185375 2.600230
1.679000e+12 0.00 1.000000 1.973133 2.185375 2.600230
1.677000e+12 0.00 1.000000 1.973489 2.185749 2.600633
1.675000e+12 0.00 1.000000 1.973846 2.186123 2.601037
1.670000e+12 0.00 1.000000 1.974740 2.187060 2.602048
1.668000e+12 0.00 1.000000 1.975099 2.187435 2.602453
1.668000e+12 0.00 1.000000 1.975099 2.187435 2.602453
1.666000e+12 0.00 1.000000 1.975458 2.187811 2.602859
1.664000e+12 0.00 1.000000 1.975817 2.188188 2.603265
1.664000e+12 0.00 1.000000 1.975817 2.188188 2.603265
1.664000e+12 0.00 1.000000 1.975817 2.188188 2.603265
1.664000e+12 0.00 1.000000 1.975817 2.188188 2.603265
1.664000e+12 0.00 1.000000 1.975817 2.188188 2.603265
1.664000e+12 0.00 1.000000 1.975817 2.188188 2.603265
1.662000e+12 0.00 1.000000 1.976177 2.188565 2.603672
1.662000e+12 0.00 1.000000 1.976177 2.188565 2.603672
1.662000e+12 0.00 1.000000 1.976177 2.188565 2.603672
1.662000e+12 0.00 1.000000 1.976177 2.188565 2.603672
1.660000e+12 0.00 1.000000 1.976537 2.188942 2.604080
1.658000e+12 0.00 1.000000 1.976898 2.189320 2.604488
1.658000e+12 0.00 1.000000 1.976898 2.189320 2.604488
1.658000e+12 0.00 1.000000 1.976898 2.189320 2.604488
1.654000e+12 0.00 1.000000 1.977621 2.190078 2.605305
1.654000e+12 0.00 1.000000 1.977621 2.190078 2.605305
1.652000e+12 0.00 1.000000 1.977983 2.190457 2.605715
1.652000e+12 0.00 1.000000 1.977983 2.190457 2.605715
1.650000e+12 0.00 1.000000 1.978345 2.190837 2.606125
1.650000e+12 0.00 1.000000 1.978345 2.190837 2.606125
1.648000e+12 0.00 1.000000 1.978708 2.191218 2.606535
1.648000e+12 0.00 1.000000 1.978708 2.191218 2.606535
1.646000e+12 0.00 1.000000 1.979072 2.191599 2.606946
1.646000e+12 0.00 1.000000 1.979072 2.191599 2.606946
1.646000e+12 0.00 1.000000 1.979072 2.191599 2.606946
1.644000e+12 0.00 1.000000 1.979436 2.191980 2.607358
1.639000e+12 0.00 1.000000 1.980348 2.192936 2.608389
1.637000e+12 0.00 1.000000 1.980714 2.193319 2.608802
1.637000e+12 0.00 1.000000 1.980714 2.193319 2.608802
1.637000e+12 0.00 1.000000 1.980714 2.193319 2.608802
1.635000e+12 0.00 1.000000 1.981080 2.193703 2.609216
1.633000e+12 0.00 1.000000 1.981447 2.194087 2.609631
1.633000e+12 0.00 1.000000 1.981447 2.194087 2.609631
1.633000e+12 0.00 1.000000 1.981447 2.194087 2.609631
1.633000e+12 0.00 1.000000 1.981447 2.194087 2.609631
1.627000e+12 0.00 1.000000 1.982550 2.195243 2.610877
1.625000e+12 0.00 1.000000 1.982918 2.195629 2.611294
1.625000e+12 0.00 1.000000 1.982918 2.195629 2.611294
1.623000e+12 0.00 1.000000 1.983287 2.196016 2.611711
1.621000e+12 0.00 1.000000 1.983657 2.196403 2.612129
1.621000e+12 0.00 1.000000 1.983657 2.196403 2.612129
1.621000e+12 0.00 1.000000 1.983657 2.196403 2.612129
1.617000e+12 0.00 1.000000 1.984397 2.197179 2.612966
1.617000e+12 0.00 1.000000 1.984397 2.197179 2.612966
1.615000e+12 0.00 1.000000 1.984768 2.197568 2.613385
1.613000e+12 0.00 1.000000 1.985140 2.197957 2.613805
1.613000e+12 0.00 1.000000 1.985140 2.197957 2.613805
1.611000e+12 0.00 1.000000 1.985512 2.198347 2.614226
1.611000e+12 0.00 1.000000 1.985512 2.198347 2.614226
1.611000e+12 0.00 1.000000 1.985512 2.198347 2.614226
1.611000e+12 0.00 1.000000 1.985512 2.198347 2.614226
1.608000e+12 0.00 1.000000 1.986071 2.198932 2.614857
1.608000e+12 0.00 1.000000 1.986071 2.198932 2.614857
1.608000e+12 0.00 1.000000 1.986071 2.198932 2.614857
1.608000e+12 0.00 1.000000 1.986071 2.198932 2.614857
1.608000e+12 0.00 1.000000 1.986071 2.198932 2.614857
1.608000e+12 0.00 1.000000 1.986071 2.198932 2.614857
1.606000e+12 0.00 1.000000 1.986444 2.199323 2.615279
1.604000e+12 0.00 1.000000 1.986818 2.199715 2.615702
1.604000e+12 0.00 1.000000 1.986818 2.199715 2.615702
1.604000e+12 0.00 1.000000 1.986818 2.199715 2.615702
1.602000e+12 0.00 1.000000 1.987192 2.200107 2.616125
1.600000e+12 0.00 1.000000 1.987567 2.200500 2.616548
1.598000e+12 0.00 1.000000 1.987942 2.200893 2.616972
1.598000e+12 0.00 1.000000 1.987942 2.200893 2.616972
1.598000e+12 0.00 1.000000 1.987942 2.200893 2.616972
1.596000e+12 0.00 1.000000 1.988317 2.201286 2.617397
1.594000e+12 0.00 1.000000 1.988694 2.201681 2.617822
1.592000e+12 0.00 1.000000 1.989071 2.202075 2.618248
1.590000e+12 0.00 1.000000 1.989448 2.202470 2.618674
1.590000e+12 0.00 1.000000 1.989448 2.202470 2.618674
1.590000e+12 0.00 1.000000 1.989448 2.202470 2.618674
1.590000e+12 0.00 1.000000 1.989448 2.202470 2.618674
1.590000e+12 0.00 1.000000 1.989448 2.202470 2.618674
1.588000e+12 0.00 1.000000 1.989826 2.202866 2.619101
1.588000e+12 0.00 1.000000 1.989826 2.202866 2.619101
1.588000e+12 0.00 1.000000 1.989826 2.202866 2.619101
1.586000e+12 0.00 1.000000 1.990204 2.203263 2.619528
1.586000e+12 0.00 1.000000 1.990204 2.203263 2.619528
1.584000e+12 0.00 1.000000 1.990583 2.203659 2.619956
1.584000e+12 0.00 1.000000 1.990583 2.203659 2.619956
1.581000e+12 0.00 1.000000 1.991152 2.204256 2.620599
1.580000e+12 0.00 1.000000 1.991342 2.204455 2.620814
1.577000e+12 0.00 1.000000 1.991913 2.205052 2.621459
1.573000e+12 0.00 1.000000 1.992675 2.205851 2.622321
1.571000e+12 0.00 1.000000 1.993058 2.206252 2.622752
1.571000e+12 0.00 1.000000 1.993058 2.206252 2.622752
1.569000e+12 0.00 1.000000 1.993440 2.206653 2.623185
1.565000e+12 0.00 1.000000 1.994207 2.207456 2.624051
1.565000e+12 0.00 1.000000 1.994207 2.207456 2.624051
1.565000e+12 0.00 1.000000 1.994207 2.207456 2.624051
1.565000e+12 0.00 1.000000 1.994207 2.207456 2.624051
1.563000e+12 0.00 1.000000 1.994591 2.207859 2.624485
1.563000e+12 0.00 1.000000 1.994591 2.207859 2.624485
1.561000e+12 0.00 1.000000 1.994976 2.208262 2.624920
1.561000e+12 0.00 1.000000 1.994976 2.208262 2.624920
1.561000e+12 0.00 1.000000 1.994976 2.208262 2.624920
1.557000e+12 0.00 1.000000 1.995747 2.209069 2.625791
1.557000e+12 0.00 1.000000 1.995747 2.209069 2.625791
1.550000e+12 0.00 1.000000 1.997102 2.210488 2.627321
1.550000e+12 0.00 1.000000 1.997102 2.210488 2.627321
1.550000e+12 0.00 1.000000 1.997102 2.210488 2.627321
1.550000e+12 0.00 1.000000 1.997102 2.210488 2.627321
1.550000e+12 0.00 1.000000 1.997102 2.210488 2.627321
1.550000e+12 0.00 1.000000 1.997102 2.210488 2.627321
1.548000e+12 0.00 1.000000 1.997490 2.210895 2.627760
1.546000e+12 0.00 1.000000 1.997879 2.211302 2.628199
1.546000e+12 0.00 1.000000 1.997879 2.211302 2.628199
1.544000e+12 0.00 1.000000 1.998268 2.211710 2.628639
1.544000e+12 0.00 1.000000 1.998268 2.211710 2.628639
1.544000e+12 0.00 1.000000 1.998268 2.211710 2.628639
1.542000e+12 0.00 1.000000 1.998658 2.212118 2.629079
1.542000e+12 0.00 1.000000 1.998658 2.212118 2.629079
1.540000e+12 0.00 1.000000 1.999048 2.212527 2.629520
1.538000e+12 0.00 1.000000 1.999439 2.212937 2.629962
1.538000e+12 0.00 1.000000 1.999439 2.212937 2.629962
1.538000e+12 0.00 1.000000 1.999439 2.212937 2.629962
1.534000e+12 0.00 1.000000 2.000223 2.213757 2.630847
1.530000e+12 0.00 1.000000 2.001008 2.214580 2.631734
1.528000e+12 0.00 1.000000 2.001402 2.214992 2.632179
1.528000e+12 0.00 1.000000 2.001402 2.214992 2.632179
1.528000e+12 0.00 1.000000 2.001402 2.214992 2.632179
1.526000e+12 0.00 1.000000 2.001796 2.215405 2.632624
1.526000e+12 0.00 1.000000 2.001796 2.215405 2.632624
1.524000e+12 0.00 1.000000 2.002191 2.215819 2.633070
1.524000e+12 0.00 1.000000 2.002191 2.215819 2.633070
1.522000e+12 0.00 1.000000 2.002586 2.216233 2.633516
1.522000e+12 0.00 1.000000 2.002586 2.216233 2.633516
1.522000e+12 0.00 1.000000 2.002586 2.216233 2.633516
1.517000e+12 0.00 1.000000 2.003577 2.217271 2.634635
1.517000e+12 0.00 1.000000 2.003577 2.217271 2.634635
1.517000e+12 0.00 1.000000 2.003577 2.217271 2.634635
1.515000e+12 0.00 1.000000 2.003974 2.217687 2.635084
1.513000e+12 0.00 1.000000 2.004372 2.218103 2.635533
1.513000e+12 0.00 1.000000 2.004372 2.218103 2.635533
1.513000e+12 0.00 1.000000 2.004372 2.218103 2.635533
1.511000e+12 0.00 1.000000 2.004770 2.218521 2.635983
1.511000e+12 0.00 1.000000 2.004770 2.218521 2.635983
1.511000e+12 0.00 1.000000 2.004770 2.218521 2.635983
1.511000e+12 0.00 1.000000 2.004770 2.218521 2.635983
1.511000e+12 0.00 1.000000 2.004770 2.218521 2.635983
1.509000e+12 0.00 1.000000 2.005169 2.218938 2.636433
1.509000e+12 0.00 1.000000 2.005169 2.218938 2.636433
1.507000e+12 0.00 1.000000 2.005569 2.219357 2.636884
1.507000e+12 0.00 1.000000 2.005569 2.219357 2.636884
1.505000e+12 0.00 1.000000 2.005969 2.219776 2.637336
1.505000e+12 0.00 1.000000 2.005969 2.219776 2.637336
1.503000e+12 0.00 1.000000 2.006370 2.220195 2.637789
1.503000e+12 0.00 1.000000 2.006370 2.220195 2.637789
1.501000e+12 0.00 1.000000 2.006771 2.220616 2.638242
1.501000e+12 0.00 1.000000 2.006771 2.220616 2.638242
1.501000e+12 0.00 1.000000 2.006771 2.220616 2.638242
1.499000e+12 0.00 1.000000 2.007173 2.221036 2.638695
1.499000e+12 0.00 1.000000 2.007173 2.221036 2.638695
1.499000e+12 0.00 1.000000 2.007173 2.221036 2.638695
1.497000e+12 0.00 1.000000 2.007575 2.221458 2.639150
1.495000e+12 0.00 1.000000 2.007978 2.221880 2.639604
1.495000e+12 0.00 1.000000 2.007978 2.221880 2.639604
1.493000e+12 0.00 1.000000 2.008382 2.222302 2.640060
1.493000e+12 0.00 1.000000 2.008382 2.222302 2.640060
1.491000e+12 0.00 1.000000 2.008786 2.222726 2.640516
1.491000e+12 0.00 1.000000 2.008786 2.222726 2.640516
1.491000e+12 0.00 1.000000 2.008786 2.222726 2.640516
1.491000e+12 0.00 1.000000 2.008786 2.222726 2.640516
1.489000e+12 0.00 1.000000 2.009190 2.223149 2.640973
1.489000e+12 0.00 1.000000 2.009190 2.223149 2.640973
1.486000e+12 0.00 1.000000 2.009798 2.223786 2.641660
1.486000e+12 0.00 1.000000 2.009798 2.223786 2.641660
1.484000e+12 0.00 1.000000 2.010205 2.224212 2.642118
1.484000e+12 0.00 1.000000 2.010205 2.224212 2.642118
1.482000e+12 0.00 1.000000 2.010611 2.224638 2.642577
1.482000e+12 0.00 1.000000 2.010611 2.224638 2.642577
1.480000e+12 0.00 1.000000 2.011019 2.225064 2.643037
1.480000e+12 0.00 1.000000 2.011019 2.225064 2.643037
1.476000e+12 0.00 1.000000 2.011835 2.225919 2.643958
1.472000e+12 0.00 1.000000 2.012654 2.226776 2.644882
1.472000e+12 0.00 1.000000 2.012654 2.226776 2.644882
1.470000e+12 0.00 1.000000 2.013064 2.227206 2.645346
1.468000e+12 0.00 1.000000 2.013475 2.227636 2.645809
1.468000e+12 0.00 1.000000 2.013475 2.227636 2.645809
1.468000e+12 0.00 1.000000 2.013475 2.227636 2.645809
1.468000e+12 0.00 1.000000 2.013475 2.227636 2.645809
1.466000e+12 0.00 1.000000 2.013886 2.228067 2.646274
1.464000e+12 0.00 1.000000 2.014298 2.228499 2.646739
1.458000e+12 0.00 1.000000 2.015538 2.229797 2.648138
1.458000e+12 0.00 1.000000 2.015538 2.229797 2.648138
1.458000e+12 0.00 1.000000 2.015538 2.229797 2.648138
1.455000e+12 0.00 1.000000 2.016160 2.230448 2.648840
1.455000e+12 0.00 1.000000 2.016160 2.230448 2.648840
1.455000e+12 0.00 1.000000 2.016160 2.230448 2.648840
1.453000e+12 0.00 1.000000 2.016576 2.230883 2.649309
1.453000e+12 0.00 1.000000 2.016576 2.230883 2.649309
1.453000e+12 0.00 1.000000 2.016576 2.230883 2.649309
1.453000e+12 0.00 1.000000 2.016576 2.230883 2.649309
1.449000e+12 0.00 1.000000 2.017408 2.231755 2.650248
1.449000e+12 0.00 1.000000 2.017408 2.231755 2.650248
1.449000e+12 0.00 1.000000 2.017408 2.231755 2.650248
1.447000e+12 0.00 1.000000 2.017826 2.232192 2.650719
1.447000e+12 0.00 1.000000 2.017826 2.232192 2.650719
1.443000e+12 0.00 1.000000 2.018662 2.233068 2.651663
1.443000e+12 0.00 1.000000 2.018662 2.233068 2.651663
1.443000e+12 0.00 1.000000 2.018662 2.233068 2.651663
1.443000e+12 0.00 1.000000 2.018662 2.233068 2.651663
1.441000e+12 0.00 1.000000 2.019081 2.233507 2.652136
1.441000e+12 0.00 1.000000 2.019081 2.233507 2.652136
1.439000e+12 0.00 1.000000 2.019501 2.233946 2.652609
1.437000e+12 0.00 1.000000 2.019921 2.234386 2.653084
1.435000e+12 0.00 1.000000 2.020342 2.234827 2.653559
1.431000e+12 0.00 1.000000 2.021186 2.235711 2.654511
1.428000e+12 0.00 1.000000 2.021820 2.236375 2.655227
1.428000e+12 0.00 1.000000 2.021820 2.236375 2.655227
1.428000e+12 0.00 1.000000 2.021820 2.236375 2.655227
1.426000e+12 0.00 1.000000 2.022244 2.236819 2.655705
1.424000e+12 0.00 1.000000 2.022669 2.237263 2.656184
1.424000e+12 0.00 1.000000 2.022669 2.237263 2.656184
1.424000e+12 0.00 1.000000 2.022669 2.237263 2.656184
1.424000e+12 0.00 1.000000 2.022669 2.237263 2.656184
1.422000e+12 0.00 1.000000 2.023094 2.237708 2.656663
1.422000e+12 0.00 1.000000 2.023094 2.237708 2.656663
1.422000e+12 0.00 1.000000 2.023094 2.237708 2.656663
1.422000e+12 0.00 1.000000 2.023094 2.237708 2.656663
1.420000e+12 0.00 1.000000 2.023520 2.238154 2.657143
1.420000e+12 0.00 1.000000 2.023520 2.238154 2.657143
1.418000e+12 0.00 1.000000 2.023946 2.238600 2.657624
1.418000e+12 0.00 1.000000 2.023946 2.238600 2.657624
1.416000e+12 0.00 1.000000 2.024373 2.239048 2.658106
1.414000e+12 0.00 1.000000 2.024801 2.239495 2.658589
1.412000e+12 0.00 1.000000 2.025229 2.239944 2.659072
1.412000e+12 0.00 1.000000 2.025229 2.239944 2.659072
1.410000e+12 0.00 1.000000 2.025658 2.240393 2.659556
1.410000e+12 0.00 1.000000 2.025658 2.240393 2.659556
1.410000e+12 0.00 1.000000 2.025658 2.240393 2.659556
1.410000e+12 0.00 1.000000 2.025658 2.240393 2.659556
1.406000e+12 0.00 1.000000 2.026518 2.241293 2.660526
1.406000e+12 0.00 1.000000 2.026518 2.241293 2.660526
1.406000e+12 0.00 1.000000 2.026518 2.241293 2.660526
1.406000e+12 0.00 1.000000 2.026518 2.241293 2.660526
1.404000e+12 0.00 1.000000 2.026949 2.241744 2.661012
1.404000e+12 0.00 1.000000 2.026949 2.241744 2.661012
1.402000e+12 0.00 1.000000 2.027380 2.242196 2.661498
1.400000e+12 0.00 1.000000 2.027813 2.242648 2.661986
1.400000e+12 0.00 1.000000 2.027813 2.242648 2.661986
1.400000e+12 0.00 1.000000 2.027813 2.242648 2.661986
1.391000e+12 0.00 1.000000 2.029765 2.244693 2.664189
1.391000e+12 0.00 1.000000 2.029765 2.244693 2.664189
1.389000e+12 0.00 1.000000 2.030201 2.245149 2.664681
1.387000e+12 0.00 1.000000 2.030637 2.245606 2.665173
1.387000e+12 0.00 1.000000 2.030637 2.245606 2.665173
1.387000e+12 0.00 1.000000 2.030637 2.245606 2.665173
1.387000e+12 0.00 1.000000 2.030637 2.245606 2.665173
1.385000e+12 0.00 1.000000 2.031075 2.246064 2.665666
1.385000e+12 0.00 1.000000 2.031075 2.246064 2.665666
1.383000e+12 0.00 1.000000 2.031512 2.246522 2.666160
1.383000e+12 0.00 1.000000 2.031512 2.246522 2.666160
1.383000e+12 0.00 1.000000 2.031512 2.246522 2.666160
1.381000e+12 0.00 1.000000 2.031951 2.246982 2.666654
1.381000e+12 0.00 1.000000 2.031951 2.246982 2.666654
1.381000e+12 0.00 1.000000 2.031951 2.246982 2.666654
1.381000e+12 0.00 1.000000 2.031951 2.246982 2.666654
1.381000e+12 0.00 1.000000 2.031951 2.246982 2.666654
1.377000e+12 0.00 1.000000 2.032830 2.247902 2.667646
1.377000e+12 0.00 1.000000 2.032830 2.247902 2.667646
1.377000e+12 0.00 1.000000 2.032830 2.247902 2.667646
1.377000e+12 0.00 1.000000 2.032830 2.247902 2.667646
1.375000e+12 0.00 1.000000 2.033271 2.248363 2.668143
1.373000e+12 0.00 1.000000 2.033713 2.248825 2.668640
1.369000e+12 0.00 1.000000 2.034598 2.249751 2.669638
1.369000e+12 0.00 1.000000 2.034598 2.249751 2.669638
1.369000e+12 0.00 1.000000 2.034598 2.249751 2.669638
1.369000e+12 0.00 1.000000 2.034598 2.249751 2.669638
1.367000e+12 0.00 1.000000 2.035041 2.250215 2.670138
1.367000e+12 0.00 1.000000 2.035041 2.250215 2.670138
1.367000e+12 0.00 1.000000 2.035041 2.250215 2.670138
1.367000e+12 0.00 1.000000 2.035041 2.250215 2.670138
1.365000e+12 0.00 1.000000 2.035485 2.250680 2.670638
1.362000e+12 0.00 1.000000 2.036153 2.251379 2.671391
1.362000e+12 0.00 1.000000 2.036153 2.251379 2.671391
1.360000e+12 0.00 1.000000 2.036599 2.251845 2.671893
1.360000e+12 0.00 1.000000 2.036599 2.251845 2.671893
1.360000e+12 0.00 1.000000 2.036599 2.251845 2.671893
1.358000e+12 0.00 1.000000 2.037045 2.252313 2.672397
1.358000e+12 0.00 1.000000 2.037045 2.252313 2.672397
1.356000e+12 0.00 1.000000 2.037493 2.252781 2.672901
1.356000e+12 0.00 1.000000 2.037493 2.252781 2.672901
1.356000e+12 0.00 1.000000 2.037493 2.252781 2.672901
1.354000e+12 0.00 1.000000 2.037941 2.253250 2.673406
1.354000e+12 0.00 1.000000 2.037941 2.253250 2.673406
1.352000e+12 0.00 1.000000 2.038389 2.253719 2.673912
1.348000e+12 0.00 1.000000 2.039289 2.254661 2.674926
1.348000e+12 0.00 1.000000 2.039289 2.254661 2.674926
1.348000e+12 0.00 1.000000 2.039289 2.254661 2.674926
1.348000e+12 0.00 1.000000 2.039289 2.254661 2.674926
1.348000e+12 0.00 1.000000 2.039289 2.254661 2.674926
1.346000e+12 0.00 1.000000 2.039739 2.255132 2.675434
1.346000e+12 0.00 1.000000 2.039739 2.255132 2.675434
1.346000e+12 0.00 1.000000 2.039739 2.255132 2.675434
1.344000e+12 0.00 1.000000 2.040191 2.255605 2.675943
1.344000e+12 0.00 1.000000 2.040191 2.255605 2.675943
1.342000e+12 0.00 1.000000 2.040643 2.256078 2.676453
1.342000e+12 0.00 1.000000 2.040643 2.256078 2.676453
1.340000e+12 0.00 1.000000 2.041096 2.256552 2.676963
1.340000e+12 0.00 1.000000 2.041096 2.256552 2.676963
1.338000e+12 0.00 1.000000 2.041550 2.257027 2.677474
1.338000e+12 0.00 1.000000 2.041550 2.257027 2.677474
1.338000e+12 0.00 1.000000 2.041550 2.257027 2.677474
1.333000e+12 0.00 1.000000 2.042687 2.258218 2.678756
1.333000e+12 0.00 1.000000 2.042687 2.258218 2.678756
1.333000e+12 0.00 1.000000 2.042687 2.258218 2.678756
1.331000e+12 0.00 1.000000 2.043143 2.258695 2.679270
1.331000e+12 0.00 1.000000 2.043143 2.258695 2.679270
1.331000e+12 0.00 1.000000 2.043143 2.258695 2.679270
1.329000e+12 0.00 1.000000 2.043600 2.259173 2.679785
1.329000e+12 0.00 1.000000 2.043600 2.259173 2.679785
1.325000e+12 0.00 1.000000 2.044516 2.260132 2.680817
1.325000e+12 0.00 1.000000 2.044516 2.260132 2.680817
1.323000e+12 0.00 1.000000 2.044975 2.260612 2.681335
1.323000e+12 0.00 1.000000 2.044975 2.260612 2.681335
1.323000e+12 0.00 1.000000 2.044975 2.260612 2.681335
1.323000e+12 0.00 1.000000 2.044975 2.260612 2.681335
1.323000e+12 0.00 1.000000 2.044975 2.260612 2.681335
1.323000e+12 0.00 1.000000 2.044975 2.260612 2.681335
1.323000e+12 0.00 1.000000 2.044975 2.260612 2.681335
1.321000e+12 0.00 1.000000 2.045435 2.261094 2.681853
1.321000e+12 0.00 1.000000 2.045435 2.261094 2.681853
1.321000e+12 0.00 1.000000 2.045435 2.261094 2.681853
1.321000e+12 0.00 1.000000 2.045435 2.261094 2.681853
1.321000e+12 0.00 1.000000 2.045435 2.261094 2.681853
1.321000e+12 0.00 1.000000 2.045435 2.261094 2.681853
1.321000e+12 0.00 1.000000 2.045435 2.261094 2.681853
1.319000e+12 0.00 1.000000 2.045896 2.261576 2.682372
1.317000e+12 0.00 1.000000 2.046357 2.262059 2.682892
1.317000e+12 0.00 1.000000 2.046357 2.262059 2.682892
1.317000e+12 0.00 1.000000 2.046357 2.262059 2.682892
1.317000e+12 0.00 1.000000 2.046357 2.262059 2.682892
1.315000e+12 0.00 1.000000 2.046819 2.262542 2.683413
1.315000e+12 0.00 1.000000 2.046819 2.262542 2.683413
1.315000e+12 0.00 1.000000 2.046819 2.262542 2.683413
1.313000e+12 0.00 1.000000 2.047282 2.263027 2.683935
1.313000e+12 0.00 1.000000 2.047282 2.263027 2.683935
1.313000e+12 0.00 1.000000 2.047282 2.263027 2.683935
1.313000e+12 0.00 1.000000 2.047282 2.263027 2.683935
1.309000e+12 0.00 1.000000 2.048210 2.263998 2.684981
1.307000e+12 0.00 1.000000 2.048675 2.264485 2.685505
1.307000e+12 0.00 1.000000 2.048675 2.264485 2.685505
1.307000e+12 0.00 1.000000 2.048675 2.264485 2.685505
1.307000e+12 0.00 1.000000 2.048675 2.264485 2.685505
1.304000e+12 0.00 1.000000 2.049375 2.265216 2.686293
1.302000e+12 0.00 1.000000 2.049842 2.265705 2.686819
1.302000e+12 0.00 1.000000 2.049842 2.265705 2.686819
1.300000e+12 0.00 1.000000 2.050310 2.266195 2.687346
1.298000e+12 0.00 1.000000 2.050778 2.266685 2.687874
1.296000e+12 0.00 1.000000 2.051248 2.267176 2.688403
1.296000e+12 0.00 1.000000 2.051248 2.267176 2.688403
1.296000e+12 0.00 1.000000 2.051248 2.267176 2.688403
1.296000e+12 0.00 1.000000 2.051248 2.267176 2.688403
1.296000e+12 0.00 1.000000 2.051248 2.267176 2.688403
1.294000e+12 0.00 1.000000 2.051718 2.267668 2.688932
1.294000e+12 0.00 1.000000 2.051718 2.267668 2.688932
1.294000e+12 0.00 1.000000 2.051718 2.267668 2.688932
1.294000e+12 0.00 1.000000 2.051718 2.267668 2.688932
1.294000e+12 0.00 1.000000 2.051718 2.267668 2.688932
1.292000e+12 0.00 1.000000 2.052189 2.268161 2.689463
1.292000e+12 0.00 1.000000 2.052189 2.268161 2.689463
1.292000e+12 0.00 1.000000 2.052189 2.268161 2.689463
1.292000e+12 0.00 1.000000 2.052189 2.268161 2.689463
1.292000e+12 0.00 1.000000 2.052189 2.268161 2.689463
1.290000e+12 0.00 1.000000 2.052660 2.268655 2.689994
1.290000e+12 0.00 1.000000 2.052660 2.268655 2.689994
1.288000e+12 0.00 1.000000 2.053133 2.269149 2.690527
1.288000e+12 0.00 1.000000 2.053133 2.269149 2.690527
1.286000e+12 0.00 1.000000 2.053606 2.269644 2.691060
1.286000e+12 0.00 1.000000 2.053606 2.269644 2.691060
1.286000e+12 0.00 1.000000 2.053606 2.269644 2.691060
1.286000e+12 0.00 1.000000 2.053606 2.269644 2.691060
1.284000e+12 0.00 1.000000 2.054080 2.270140 2.691594
1.282000e+12 0.00 1.000000 2.054555 2.270637 2.692129
1.282000e+12 0.00 1.000000 2.054555 2.270637 2.692129
1.282000e+12 0.00 1.000000 2.054555 2.270637 2.692129
1.280000e+12 0.00 1.000000 2.055031 2.271135 2.692664
1.280000e+12 0.00 1.000000 2.055031 2.271135 2.692664
1.280000e+12 0.00 1.000000 2.055031 2.271135 2.692664
1.278000e+12 0.00 1.000000 2.055507 2.271633 2.693201
1.278000e+12 0.00 1.000000 2.055507 2.271633 2.693201
1.278000e+12 0.00 1.000000 2.055507 2.271633 2.693201
1.278000e+12 0.00 1.000000 2.055507 2.271633 2.693201
1.278000e+12 0.00 1.000000 2.055507 2.271633 2.693201
1.276000e+12 0.00 1.000000 2.055984 2.272133 2.693738
1.276000e+12 0.00 1.000000 2.055984 2.272133 2.693738
1.276000e+12 0.00 1.000000 2.055984 2.272133 2.693738
1.276000e+12 0.00 1.000000 2.055984 2.272133 2.693738
1.274000e+12 0.00 1.000000 2.056462 2.272633 2.694277
1.274000e+12 0.00 1.000000 2.056462 2.272633 2.694277
1.274000e+12 0.00 1.000000 2.056462 2.272633 2.694277
1.274000e+12 0.00 1.000000 2.056462 2.272633 2.694277
1.274000e+12 0.00 1.000000 2.056462 2.272633 2.694277
1.274000e+12 0.00 1.000000 2.056462 2.272633 2.694277
1.274000e+12 0.00 1.000000 2.056462 2.272633 2.694277
1.271000e+12 0.00 1.000000 2.057181 2.273385 2.695086
1.269000e+12 0.00 1.000000 2.057661 2.273887 2.695627
1.269000e+12 0.00 1.000000 2.057661 2.273887 2.695627
1.267000e+12 0.00 1.000000 2.058142 2.274390 2.696168
1.265000e+12 0.00 1.000000 2.058623 2.274894 2.696711
